player_id,product_name,qty
107204535,感恩大礼包,1
107204535,新手礼包,1
213666611,8条钥匙,1
226500629,0.1元大礼包,1
226500629,8条钥匙,1
226500629,限量版角色,1
230329140,38000金币,1
230329140,限量版角色,1
230329140,新手礼包,1
264162836,50条钥匙,1
278620434,15000金币,1
278620434,70000金币,1
278620434,快速复活,2
287632315,15000金币,1
292033308,3000金币,1
309973095,8条钥匙,1
311844275,15000金币,2
312478424,50条钥匙,1
320714774,8条钥匙,1
326904081,0.1元大礼包,1
335270852,15000金币,2
338607559,数据备份,1
355180327,8条钥匙,1
357320598,限量版角色,1
368729252,10块滑板,1
375327688,38000金币,1
381100935,10块滑板,1
381793097,双倍金币,1
385358577,双倍金币,1
389285441,首次复活0.1元,1
390581921,8条钥匙,1
393199789,15000金币,1
393199789,数据备份,1
393199789,双倍金币,1
393296162,50条钥匙,1
396020523,50条钥匙,1
400133619,8条钥匙,1
405127273,8条钥匙,2
410348490,50条钥匙,3
413288211,15000金币,1
416199768,双倍金币,1
417461739,0.1元大礼包,1
419625777,38000金币,1
421037552,50条钥匙,1
421037552,70000金币,1
423563096,限量版角色,1
424053138,限量版角色,1
425266046,8条钥匙,2
425944507,60块滑板,1
432708463,50条钥匙,1
433074641,8条钥匙,3
438148507,8条钥匙,2
438148507,数据备份,1
440903038,限量版角色,1
441524206,8条钥匙,1
444173866,8条钥匙,1
445494079,50条钥匙,1
449651188,双倍金币,1
450107942,双倍金币,1
451823803,15000金币,1
451823803,8条钥匙,1
451823803,解锁滑板,1
451823803,双倍金币,1
451823803,限量版角色,1
452195565,60块滑板,1
454149362,8条钥匙,3
455035560,0.1元大礼包,1
455035560,50条钥匙,1
455035560,解锁滑板,1
455035560,数据备份,1
455035560,限量版角色,1
457346699,快速复活,1
458280800,0.1元大礼包,1
458409517,50条钥匙,1
459085886,20条钥匙,1
459085886,50条钥匙,1
459085886,8条钥匙,5
460908943,8条钥匙,1
463460639,38000金币,1
463460639,限量版角色,1
463860277,50条钥匙,1
467248489,快速复活,1
467540394,20条钥匙,1
468540191,8条钥匙,2
468818266,15000金币,1
468818266,8条钥匙,3
468818266,双倍金币,1
468818266,特殊滑板,1
500886518,0.1元大礼包,1
501276196,3000金币,2
501276196,新手礼包,1
501805147,50条钥匙,1
501805147,8条钥匙,1
504215860,8条钥匙,5
507057135,8条钥匙,1
507057135,解锁滑板,1
507498258,0.1元大礼包,1
508051729,双倍金币,1
515864474,限量版角色,1
517625214,70000金币,1
518254418,双倍金币,1
518254418,特殊滑板,1
518254418,限量版角色,1
527438360,15000金币,3
531225564,15000金币,1
532497712,70000金币,1
533499207,50条钥匙,1
533499207,8条钥匙,1
536246903,8条钥匙,2
538228319,8条钥匙,1
538420908,超值大礼包,1
538420908,新手礼包,1
539030549,10块滑板,1
542809669,60块滑板,1
542888675,3000金币,1
545067166,解锁滑板,2
545067166,双倍金币,1
548289100,15000金币,2
549807476,8条钥匙,1
550103139,新手礼包,1
550702596,8条钥匙,1
550702596,特殊滑板,1
550702596,限量版角色,1
550750814,8条钥匙,1
550888957,8条钥匙,2
550888957,解锁滑板,1
550888957,双倍金币,1
551155971,8条钥匙,1
551313369,38000金币,1
551335933,50条钥匙,1
551498074,15000金币,1
551557340,8条钥匙,1
551557340,限量版角色,1
551905549,70000金币,1
552140529,0.1元大礼包,1
552140529,15000金币,1
552140529,70000金币,1
552140529,8条钥匙,3
552364581,8条钥匙,1
552364581,特殊滑板,1
552386941,70000金币,1
552386941,8条钥匙,1
552583908,15000金币,3
552599999,解锁滑板,1
552599999,限量版角色,1
553057383,快速复活,1
554262580,快速复活,2
554414081,10块滑板,1
554414081,3000金币,3
554504447,超值大礼包,1
554504447,限量版角色,1
554504447,新手礼包,1
554721203,50条钥匙,1
554942361,8条钥匙,1
555120473,快速复活,2
555123938,双倍金币,1
555123938,特殊滑板,1
555123938,限量版角色,2
555365833,15000金币,1
555365833,解锁滑板,1
555464647,70000金币,1
555537480,15000金币,1
555537480,双倍金币,1
555594667,70000金币,1
555825995,快速复活,1
556008032,解锁滑板,1
556008032,限量版角色,1
556557149,0.1元大礼包,1
556557149,1条钥匙,1
556557149,特殊滑板,1
556574453,8条钥匙,3
556692839,15000金币,1
556973309,50条钥匙,1
557607169,8条钥匙,1
558168267,解锁滑板,1
558374787,15000金币,1
558380136,50条钥匙,1
558399164,70000金币,2
558518933,15000金币,1
559190493,0.1元大礼包,1
559338442,10块滑板,1
559368157,快速复活,1
559975582,快速复活,1
560322536,38000金币,2
560322536,8条钥匙,2
560389188,0.1元大礼包,1
560514793,10块滑板,1
560514793,60块滑板,2
560514793,快速复活,1
560752368,70000金币,1
560922507,8条钥匙,1
561375223,8条钥匙,2
561583274,快速复活,5
561641474,限量版角色,1
561956734,15000金币,1
562101174,70000金币,1
562737195,38000金币,1
562737195,50条钥匙,1
562737195,70000金币,1
562847716,38000金币,1
562847716,50条钥匙,2
562847716,数据备份,1
562847716,新手礼包,1
563329276,15000金币,1
563789209,8条钥匙,1
563995277,1条钥匙,1
563995277,50条钥匙,1
564204513,0.1元大礼包,1
564385413,8条钥匙,6
564502531,8条钥匙,1
564948261,限量版角色,1
564985068,0.1元大礼包,1
565121034,限量版角色,1
565264338,解锁滑板,1
565392289,特殊滑板,1
565523593,8条钥匙,1
565562958,8条钥匙,2
