用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
196,0,1,2,3,1,0,2
197,1,4,4,30,7,17,6
198,0,0,1,3,0,3,0
199,0,3,4,14,0,11,3
200,1,19,6,23,4,12,7
201,0,4,5,16,5,7,4
202,0,1,1,3,1,2,0
203,0,1,2,3,0,3,0
204,0,0,1,1,0,0,1
205,1,2,3,12,3,5,4
206,1,6,7,101,26,52,23
207,1,6,7,17,2,10,5
208,1,1,2,5,0,3,2
209,0,2,3,10,4,2,4
210,1,3,4,13,5,4,4
211,1,1,2,4,1,1,2
212,0,1,2,3,0,0,3
213,0,14,1,1,0,1,0
214,0,1,1,1,1,0,0
215,1,6,7,41,14,19,8
216,0,0,1,4,0,0,4
217,0,0,1,2,0,2,0
218,1,3,4,11,5,6,0
219,0,1,1,1,0,1,0
220,0,0,1,2,0,0,2
221,1,5,6,17,2,8,7
222,1,3,4,11,2,7,2
223,1,3,3,11,3,3,5
224,0,0,1,5,0,2,3
225,0,0,1,1,0,1,0
226,0,0,1,1,0,0,1
227,0,0,1,2,0,2,0
228,0,0,1,1,0,0,1
229,0,0,1,1,0,1,0
230,0,0,1,1,0,0,1
231,0,0,1,1,0,1,0
232,0,3,2,3,0,2,1
233,0,1,2,3,0,1,2
234,0,3,4,4,2,2,0
235,0,5,6,27,5,14,8
236,0,1,2,3,0,1,2
237,0,1,1,1,0,1,0
238,1,4,5,27,12,13,2
239,0,0,1,1,0,0,1
240,0,2,3,7,2,2,3
241,0,0,1,5,2,1,2
242,0,0,1,1,0,1,0
243,1,2,3,10,1,2,7
244,0,0,1,2,0,0,2
245,0,5,3,8,0,4,4
246,1,6,7,51,14,22,15
247,0,0,1,2,0,2,0
248,0,1,2,3,0,1,2
249,0,2,3,9,6,1,2
250,0,0,1,2,0,2,0
251,1,2,3,7,4,3,0
252,0,0,1,1,0,0,1
253,0,1,2,2,0,0,2
254,0,1,2,8,1,5,2
255,0,0,1,2,0,0,2
256,0,4,2,2,0,2,0
257,1,7,7,76,17,37,22
258,0,3,3,4,2,2,0
259,0,2,3,8,1,6,1
260,0,0,1,3,0,2,1
261,0,0,1,2,2,0,0
262,0,1,2,2,1,0,1
263,0,0,1,2,0,2,0
264,0,0,1,2,2,0,0
265,0,0,1,1,1,0,0
266,1,6,7,59,15,28,16
267,1,4,5,21,9,9,3
268,0,4,5,6,2,4,0
269,0,0,1,1,0,1,0
270,1,2,3,10,4,2,4
271,0,3,4,9,5,0,4
272,0,0,1,1,0,1,0
273,0,2,2,2,0,2,0
274,0,0,1,2,1,1,0
275,0,0,1,1,0,0,1
276,0,0,1,1,1,0,0
277,1,0,1,2,0,2,0
278,0,0,1,2,2,0,0
279,0,1,2,2,0,1,1
280,0,3,3,6,0,3,3
281,0,1,2,2,1,1,0
282,0,0,1,2,1,1,0
283,0,0,1,1,0,1,0
284,0,0,1,2,0,2,0
285,0,0,1,2,0,0,2
286,0,0,1,1,0,0,1
287,0,0,1,1,0,0,1
288,0,0,1,2,0,0,2
289,0,0,1,2,0,2,0
290,0,0,1,1,0,1,0
291,0,0,1,1,0,0,1
292,0,1,2,3,0,3,0
293,1,3,4,8,1,4,3
294,0,0,1,1,0,0,1
295,1,5,6,57,9,33,15
296,1,2,3,20,10,3,7
297,0,0,1,1,0,1,0
298,1,0,1,7,0,5,2
299,0,2,2,6,4,1,1
300,0,0,1,3,0,3,0
301,0,5,4,5,0,4,1
302,0,0,1,2,0,2,0
303,0,0,1,1,0,1,0
304,1,3,3,9,3,5,1
305,1,4,5,16,3,11,2
306,1,1,2,23,6,10,7
307,0,0,1,2,0,2,0
308,1,5,6,44,18,15,11
309,0,0,1,4,0,3,1
310,1,1,2,5,0,0,5
311,0,0,1,2,0,2,0
312,0,0,1,1,0,0,1
313,1,0,1,7,0,6,1
314,0,0,1,2,0,0,2
315,0,0,1,3,2,1,0
316,0,0,1,3,0,0,3
317,0,0,1,1,0,1,0
318,0,0,1,1,0,1,0
319,0,5,6,16,3,9,4
320,1,1,2,6,1,3,2
321,0,0,1,1,1,0,0
322,1,6,6,11,4,6,1
323,0,0,1,2,0,2,0
324,0,0,1,1,1,0,0
325,1,6,7,31,8,15,8
326,0,0,1,2,2,0,0
327,1,4,5,13,3,2,8
328,1,6,7,18,1,12,5
329,1,0,1,3,2,1,0
330,1,2,3,6,2,2,2
331,0,1,2,8,1,5,2
332,1,3,4,14,4,7,3
333,1,1,1,3,1,1,1
334,0,4,4,31,7,17,7
335,0,6,5,14,2,6,6
336,0,0,1,1,0,0,1
337,0,0,1,1,0,1,0
338,0,0,1,1,0,1,0
339,0,0,1,2,0,2,0
340,1,4,5,17,4,7,6
341,0,0,1,2,0,2,0
342,0,4,5,11,4,4,3
343,0,1,2,4,0,2,2
344,0,0,1,2,0,2,0
345,0,0,1,2,0,0,2
346,0,0,1,1,0,1,0
347,0,0,1,1,0,0,1
348,1,2,3,9,1,7,1
349,0,0,1,3,0,3,0
350,0,0,1,3,2,1,0
351,0,0,1,2,0,0,2
352,0,0,1,1,0,1,0
353,0,0,1,1,0,0,1
354,1,1,2,3,0,3,0
355,0,0,1,1,0,1,0
356,0,0,1,2,0,1,1
357,0,0,1,2,0,2,0
358,0,0,1,2,0,0,2
359,0,0,1,2,0,2,0
360,0,0,1,1,0,0,1
361,0,0,1,1,0,1,0
362,1,4,5,50,4,31,15
363,0,2,3,5,3,1,1
364,0,0,1,2,0,2,0
365,1,3,3,5,0,3,2
366,1,6,7,23,6,7,10
367,0,0,1,1,0,1,0
368,0,0,1,2,0,0,2
369,0,3,2,7,1,5,1
370,0,1,2,5,0,4,1
371,1,1,2,3,1,0,2
372,1,2,3,10,2,3,5
373,0,0,1,1,0,0,1
374,0,0,1,1,0,1,0
375,0,0,1,1,0,0,1
376,1,3,4,14,6,4,4
377,0,0,1,2,0,2,0
378,0,0,1,1,0,0,1
379,1,5,6,22,4,4,14
380,0,1,2,7,2,4,1
381,1,1,2,5,4,1,0
382,1,2,3,6,0,4,2
383,0,0,1,1,0,0,1
384,0,1,2,3,3,0,0
385,0,0,1,2,0,2,0
386,0,0,1,2,0,2,0
387,1,4,4,17,4,8,5
388,0,0,1,1,0,0,1
389,0,0,1,1,0,0,1
390,0,0,1,1,0,1,0
391,0,1,2,3,0,3,0
392,0,0,1,1,0,0,1
393,0,0,1,4,0,3,1
394,0,0,1,2,0,1,1
395,0,0,1,1,0,1,0
396,1,4,5,13,1,8,4
397,1,1,2,12,5,4,3
398,0,3,4,9,0,8,1
399,0,0,1,2,0,2,0
400,0,0,1,3,0,3,0
401,0,0,1,2,0,2,0
402,0,3,3,4,0,2,2
403,0,0,1,4,0,4,0
404,0,1,2,2,0,2,0
405,0,0,1,2,0,2,0
406,0,0,1,1,0,0,1
407,0,4,3,5,0,5,0
408,0,0,1,2,1,1,0
409,0,2,3,7,2,1,4
410,0,0,1,1,0,1,0
411,0,0,1,1,1,0,0
412,0,0,1,1,0,1,0
413,0,0,1,1,0,1,0
414,0,0,1,1,0,1,0
415,0,0,1,1,0,1,0
416,0,0,1,2,0,2,0
417,0,0,1,1,0,1,0
418,0,0,1,1,0,0,1
419,0,0,1,1,0,1,0
420,0,0,1,2,0,2,0
421,0,5,2,3,0,2,1
422,0,0,1,1,0,1,0
423,0,0,1,1,0,0,1
424,0,5,2,2,0,2,0
425,0,0,1,2,0,2,0
426,0,0,1,1,0,1,0
427,0,0,1,1,0,1,0
428,1,2,3,15,8,3,4
429,0,0,1,1,0,0,1
430,0,1,2,5,0,5,0
431,0,0,1,1,0,0,1
432,0,0,1,2,0,0,2
433,0,2,3,6,0,1,5
434,0,1,2,3,0,0,3
435,0,0,1,4,0,3,1
436,0,4,5,15,4,7,4
437,0,1,2,5,1,2,2
438,1,1,2,5,2,2,1
439,1,0,1,5,0,3,2
440,0,0,1,1,0,1,0
441,0,0,1,1,0,1,0
442,0,0,1,2,0,2,0
443,0,0,1,2,0,2,0
444,0,1,2,6,1,4,1
445,0,2,2,2,1,0,1
446,0,0,1,2,0,2,0
447,0,0,1,1,0,1,0
448,0,2,2,3,1,0,2
449,0,0,1,2,0,0,2
450,0,6,2,3,0,3,0
451,0,1,2,4,1,2,1
452,0,0,1,1,0,1,0
453,0,0,1,1,0,1,0
454,0,0,1,1,0,1,0
455,0,1,2,2,0,2,0
456,0,0,1,1,0,1,0
457,0,7,7,21,6,9,6
458,0,0,1,2,0,2,0
459,0,0,1,2,0,0,2
460,0,0,1,1,0,1,0
461,0,0,1,2,0,0,2
462,0,0,1,1,0,1,0
463,0,0,1,1,0,1,0
464,0,0,1,1,0,1,0
465,1,3,4,17,5,8,4
466,0,0,1,4,2,2,0
467,0,0,1,3,2,1,0
468,0,0,1,3,0,3,0
469,0,0,1,1,0,1,0
470,0,2,3,5,0,4,1
471,1,1,2,9,2,6,1
472,1,5,6,28,5,17,6
473,1,3,4,12,5,0,7
474,1,1,2,6,1,4,1
475,0,0,1,3,0,0,3
476,1,4,4,11,2,2,7
477,0,0,1,1,0,1,0
478,1,1,2,7,1,4,2
479,1,6,7,77,23,38,16
480,0,0,1,1,0,1,0
481,0,1,2,2,0,1,1
482,0,0,1,1,0,1,0
483,0,4,5,12,3,5,4
484,1,1,2,6,1,4,1
485,0,1,2,2,0,1,1
486,0,0,1,1,0,0,1
487,1,3,3,21,3,11,7
488,0,0,1,1,0,0,1
489,0,2,3,3,1,1,1
490,0,5,6,22,8,11,3
491,0,0,1,4,0,3,1
492,1,4,5,41,11,23,7
493,0,2,2,3,0,0,3
494,0,0,1,1,0,0,1
495,1,7,7,72,19,34,19
496,1,1,2,9,0,9,0
497,0,3,4,8,3,3,2
498,0,0,1,2,2,0,0
499,1,2,3,6,2,2,2
500,0,1,1,3,2,1,0
501,0,1,2,5,1,2,2
502,0,0,1,3,0,0,3
503,1,0,1,5,0,3,2
504,0,0,1,1,0,1,0
505,0,0,1,2,0,0,2
506,0,0,1,2,0,2,0
507,0,13,4,12,1,9,2
508,0,1,2,7,2,3,2
509,1,0,1,3,0,0,3
510,0,0,1,2,0,1,1
511,0,0,1,2,0,0,2
512,0,0,1,1,0,1,0
513,1,1,2,9,2,5,2
514,0,10,1,1,0,1,0
515,0,4,5,17,1,7,9
516,1,5,6,22,10,3,9
517,0,0,1,1,0,1,0
518,0,0,1,2,0,2,0
519,0,0,1,2,0,2,0
520,0,0,1,1,0,1,0
521,0,0,1,2,0,2,0
522,0,0,1,1,0,0,1
523,0,0,1,3,0,0,3
524,1,4,3,6,2,1,3
525,0,0,1,2,0,2,0
526,0,0,1,1,0,1,0
527,0,5,2,3,0,3,0
528,0,0,1,1,0,1,0
529,0,0,1,1,0,1,0
530,0,0,1,1,0,1,0
531,0,1,2,9,0,6,3
532,0,0,1,1,0,1,0
533,0,0,1,1,0,1,0
534,0,0,1,2,0,2,0
535,1,3,4,7,1,5,1
536,0,0,1,1,0,0,1
537,0,4,5,30,6,18,6
538,0,0,1,1,0,1,0
539,0,0,1,8,0,6,2
540,1,5,6,22,6,4,12
541,0,0,1,1,0,1,0
542,0,0,1,1,0,1,0
543,1,1,2,6,1,3,2
544,1,2,3,12,4,2,6
545,1,2,3,11,4,3,4
546,0,0,1,2,0,1,1
547,0,3,4,9,1,5,3
548,0,2,3,12,2,7,3
549,1,5,6,26,5,11,10
550,0,1,2,6,5,1,0
551,1,1,2,7,4,2,1
552,0,0,1,2,0,0,2
553,0,2,2,4,1,2,1
554,0,0,1,2,2,0,0
555,0,0,1,2,0,2,0
556,0,0,1,1,0,0,1
557,0,0,1,3,0,3,0
558,0,4,5,27,6,14,7
559,1,1,2,12,2,7,3
560,0,1,2,6,4,1,1
561,0,1,2,2,0,2,0
562,0,0,1,1,0,0,1
563,0,0,1,1,0,0,1
564,0,0,1,1,0,1,0
565,0,0,1,1,0,1,0
566,1,1,2,4,0,1,3
567,0,1,2,8,3,2,3
568,0,0,1,2,0,2,0
569,0,0,1,2,0,2,0
570,0,1,2,3,0,1,2
571,0,0,1,1,0,1,0
572,0,0,1,1,0,0,1
573,0,0,1,2,2,0,0
574,0,0,1,2,0,2,0
575,0,0,1,2,0,0,2
576,0,0,1,1,0,0,1
577,0,1,2,3,1,2,0
578,0,0,1,2,0,2,0
579,0,0,1,1,0,0,1
580,1,6,7,44,9,25,10
581,1,3,4,14,4,2,8
582,0,0,1,2,0,2,0
583,0,0,1,3,1,0,2
584,0,0,1,2,0,0,2
585,0,0,1,1,0,1,0
586,0,0,1,1,0,1,0
587,0,0,1,2,0,2,0
588,1,2,3,14,1,8,5
589,1,3,4,12,2,7,3
590,0,0,1,1,1,0,0
591,1,2,3,6,2,3,1
592,0,0,1,1,0,0,1
593,0,0,1,7,0,6,1
594,0,0,1,1,0,1,0
595,0,5,6,30,2,22,6
596,0,2,2,4,3,1,0
597,0,0,1,1,0,0,1
598,0,0,1,2,0,2,0
599,0,0,1,1,0,0,1
600,0,0,1,1,0,1,0
601,0,0,1,1,0,0,1
602,0,0,1,3,0,3,0
603,0,0,1,2,0,2,0
604,0,2,2,3,0,2,1
605,0,0,1,2,0,0,2
606,0,0,1,1,0,1,0
607,0,0,1,2,2,0,0
608,0,0,1,1,0,1,0
609,0,0,1,2,0,2,0
610,0,0,1,1,0,1,0
611,0,0,1,1,0,1,0
612,0,5,2,2,0,2,0
613,0,0,1,1,0,1,0
614,0,0,1,1,0,1,0
615,0,0,1,1,0,0,1
616,0,0,1,1,0,1,0
617,0,0,1,1,0,1,0
618,0,0,1,1,0,0,1
619,0,1,2,3,0,1,2
620,0,1,2,5,0,3,2
621,0,0,1,4,3,1,0
622,0,0,1,3,0,3,0
623,0,1,2,5,0,4,1
624,0,1,2,2,0,0,2
625,0,1,2,6,1,5,0
626,0,5,5,18,5,7,6
627,0,0,1,2,0,2,0
628,0,0,1,3,0,0,3
629,0,0,1,2,0,2,0
630,1,7,7,65,16,21,28
631,1,3,4,13,2,10,1
632,0,0,1,2,0,2,0
633,1,3,4,16,4,6,6
634,1,3,4,17,6,6,5
635,0,0,1,1,0,1,0
636,0,0,1,1,0,1,0
637,0,1,2,2,0,1,1
638,0,1,1,9,1,8,0
639,0,1,2,9,0,7,2
640,0,1,2,2,0,0,2
641,1,2,3,14,1,10,3
642,1,11,6,21,2,17,2
643,1,2,3,14,3,7,4
644,0,0,1,1,0,1,0
645,1,4,5,30,8,10,12
646,1,0,1,4,0,2,2
647,1,1,2,7,1,5,1
648,0,6,7,38,5,29,4
649,1,4,5,22,1,16,5
650,0,1,2,4,1,1,2
651,0,1,2,2,2,0,0
652,0,0,1,1,0,0,1
653,0,0,1,2,0,0,2
654,0,0,1,2,0,0,2
655,0,0,1,3,0,3,0
656,1,3,4,14,6,5,3
657,1,8,5,11,1,9,1
658,1,7,7,55,10,30,15
659,0,0,1,1,0,0,1
660,0,0,1,4,0,3,1
661,1,3,4,9,2,1,6
662,0,0,1,1,0,1,0
663,0,2,2,7,0,7,0
664,1,5,6,37,7,20,10
665,0,1,2,2,0,1,1
666,0,0,1,1,0,1,0
667,0,4,1,1,0,1,0
668,0,5,3,5,1,2,2
669,1,9,5,17,2,15,0
670,1,0,1,1,1,0,0
671,0,0,1,2,0,2,0
672,0,8,4,18,0,14,4
673,1,7,7,96,20,48,28
674,1,2,3,7,2,2,3
675,0,9,3,19,4,10,5
676,1,3,4,10,1,3,6
677,0,0,1,1,0,1,0
678,0,2,3,16,1,13,2
679,0,7,7,51,15,29,7
680,0,0,1,1,0,1,0
681,1,6,7,19,11,6,2
682,0,1,2,3,1,2,0
683,0,8,4,16,1,15,0
684,0,3,2,5,2,1,2
685,0,1,2,11,0,11,0
686,0,1,1,3,1,1,1
687,0,0,1,5,3,2,0
688,1,6,7,39,1,20,18
689,1,5,6,24,11,6,7
690,1,2,3,10,1,7,2
691,1,0,1,4,1,3,0
692,1,2,3,16,9,5,2
693,1,7,7,25,17,4,4
694,1,7,7,65,12,47,6
695,0,0,1,1,1,0,0
696,0,4,2,10,2,8,0
697,0,5,2,8,1,6,1
698,1,7,7,61,10,36,15
699,1,4,5,27,0,20,7
700,0,2,1,1,0,1,0
701,1,7,7,63,14,33,16
702,0,0,1,1,0,0,1
703,0,0,1,3,0,3,0
704,0,7,7,30,3,14,13
705,0,0,1,1,1,0,0
706,1,1,2,4,1,2,1
707,1,0,1,3,0,0,3
708,1,6,5,24,8,13,3
709,0,0,1,1,0,1,0
710,1,0,1,5,0,3,2
711,0,0,1,5,2,2,1
712,0,1,1,2,1,1,0
713,0,1,2,7,3,0,4
714,0,4,3,7,0,4,3
715,0,0,1,3,0,2,1
716,0,3,1,2,1,1,0
717,0,0,1,1,1,0,0
718,1,6,7,67,30,17,20
719,0,1,1,4,2,2,0
720,0,1,1,1,0,1,0
721,0,7,7,23,4,16,3
722,1,7,7,59,2,38,19
723,1,5,5,20,5,9,6
724,1,1,1,1,0,1,0
725,1,7,7,76,19,39,18
726,0,3,2,3,1,2,0
727,1,6,6,51,8,26,17
728,1,6,6,25,4,17,4
729,0,2,1,1,0,1,0
730,0,3,2,2,1,0,1
731,0,1,1,5,2,3,0
732,1,4,4,23,4,17,2
733,1,7,7,58,5,34,19
734,0,1,1,1,0,1,0
735,1,4,4,26,4,18,4
736,1,7,7,50,9,22,19
737,0,3,3,17,2,12,3
738,1,6,6,25,6,16,3
739,0,7,7,23,8,9,6
740,1,3,3,11,4,6,1
741,0,1,1,2,0,2,0
742,0,7,5,8,1,6,1
743,0,1,1,4,1,3,0
744,1,7,7,83,14,50,19
745,0,3,3,7,3,2,2
746,1,7,7,84,9,53,22
747,1,7,7,65,16,35,14
748,0,2,2,4,0,0,4
749,0,5,2,2,0,2,0
750,0,7,7,40,12,17,11
751,0,7,5,20,6,10,4
752,1,5,5,34,8,19,7
753,0,1,1,2,1,1,0
754,0,1,1,1,1,0,0
755,1,7,7,69,5,43,21
756,0,4,4,8,0,7,1
757,0,3,3,25,5,15,5
758,0,7,6,11,6,3,2
759,0,1,1,1,0,1,0
760,0,1,1,5,0,5,0
761,1,7,6,54,11,32,11
762,0,2,2,3,0,3,0
763,1,6,6,31,7,14,10
764,0,2,2,11,2,5,4
765,1,6,6,42,9,22,11
766,0,1,1,3,3,0,0
767,1,7,7,53,7,28,18
768,0,5,5,21,3,10,8
769,0,7,7,11,2,9,0
770,1,4,4,10,1,6,3
771,1,7,7,30,12,13,5
772,0,7,7,64,6,41,17
773,1,7,7,89,22,49,18
774,1,7,7,75,10,49,16
775,1,1,1,5,0,3,2
776,0,1,1,3,1,2,0
777,1,7,7,85,18,49,18
778,0,2,2,6,4,2,0
779,1,7,7,39,1,30,8
780,0,7,6,12,1,3,8
781,0,1,1,1,0,1,0
782,1,2,2,14,1,12,1
783,1,3,3,5,1,4,0
784,0,1,1,2,1,1,0
785,0,4,4,12,1,8,3
786,0,1,1,3,0,2,1
787,0,4,4,17,0,15,2
788,0,6,3,7,0,7,0
789,1,7,7,41,2,23,16
790,1,7,7,36,6,17,13
791,0,1,1,2,0,2,0
792,0,6,6,40,3,26,11
793,0,7,7,48,10,26,12
794,0,2,2,3,0,3,0
795,1,7,7,38,12,18,8
796,0,7,7,52,9,22,21
797,0,2,1,5,0,4,1
798,1,2,2,7,3,1,3
799,0,2,2,2,1,1,0
800,0,7,7,38,0,30,8
801,1,7,7,61,9,30,22
802,0,1,1,1,0,1,0
803,0,1,1,1,0,0,1
804,0,6,4,5,0,5,0
805,0,1,1,4,1,3,0
806,0,4,4,10,1,9,0
807,1,7,7,85,18,45,22
808,1,7,7,62,14,34,14
809,1,1,1,6,2,4,0
810,0,2,2,2,0,2,0
811,0,4,4,24,4,17,3
812,0,7,7,65,16,27,22
813,0,5,3,8,2,4,2
814,0,6,6,10,2,6,2
815,0,2,1,1,0,0,1
816,0,7,2,2,0,2,0
817,0,2,2,10,0,7,3
818,0,0,1,1,0,1,0
819,0,6,4,4,0,0,4
820,0,7,6,11,2,5,4
821,1,7,3,6,1,3,2
822,0,7,3,3,0,2,1
823,1,7,7,31,13,15,3
824,0,4,2,2,0,2,0
825,0,7,6,7,0,4,3
826,0,1,1,1,1,0,0
827,0,7,3,4,0,4,0
828,0,7,2,2,0,1,1
829,0,7,1,1,0,1,0
830,0,7,3,4,0,4,0
831,0,7,2,2,0,2,0
832,0,7,3,3,0,3,0
833,0,3,3,5,0,4,1
834,0,2,1,1,0,1,0
835,0,7,5,9,0,9,0
836,0,5,2,2,0,1,1
837,1,7,7,72,1,44,27
838,0,7,2,2,0,2,0
839,0,7,2,2,0,2,0
840,0,7,2,2,0,2,0
841,0,7,2,3,0,3,0
842,0,7,3,4,0,4,0
843,0,2,1,2,0,2,0
844,0,7,1,1,0,1,0
845,0,6,3,4,0,4,0
846,0,7,3,4,0,2,2
847,0,7,3,4,0,3,1
848,1,4,4,26,9,9,8
849,0,7,6,8,0,8,0
850,0,7,1,1,0,1,0
851,0,7,7,8,0,4,4
852,0,4,1,1,0,1,0
853,0,1,1,1,0,1,0
854,0,7,4,4,0,3,1
855,0,7,3,3,0,2,1
856,0,7,2,2,0,2,0
857,0,1,1,1,0,1,0
858,0,2,2,4,0,3,1
859,0,6,4,5,0,4,1
860,1,7,7,20,12,5,3
861,0,7,1,2,0,2,0
862,0,7,4,5,0,5,0
863,0,2,1,1,0,1,0
864,0,7,3,3,0,3,0
