用户id,性别,等级,站内好友数,经验值,积分,登录总次数,玩牌局数,赢牌局数,身上货币量
7791318,0,0,1,0,0,2,,,200
7791316,1,0,0,0,0,2,,,800
7791314,0,2,1,31,5,3,5,,150
7791308,1,2,0,8,0,2,2,,970
7791307,0,6,0,518,20,6,119,37,0
7791302,0,3,0,104,0,2,11,3,1378
7791296,0,5,1,336,10,3,34,9,0
7791293,0,3,0,67,0,2,7,1,700
7791287,1,2,1,16,0,2,3,,730
7791285,1,2,1,43,0,2,6,,0
7791284,0,3,2,77,0,2,9,2,1070
7791278,0,2,1,13,0,2,1,,790
7791276,0,2,0,5,0,2,1,,980
7791273,0,2,0,22,0,2,4,,20
7791269,0,6,1,671,16,5,104,36,0
7791265,0,4,2,225,0,2,27,11,2922
7791258,0,0,1,0,0,2,,,200
7791257,0,2,4,34,5,3,8,,0
7791255,0,2,15,25,0,2,2,1,1000
7791251,0,0,2,0,0,2,,,200
7791249,0,2,0,11,0,2,2,,950
7791247,0,0,3,0,0,1,,,0
7791244,1,2,2,18,0,2,1,,1000
7791241,0,0,3,0,0,1,,,0
7791228,0,0,1,0,0,1,,,0
7791226,1,2,0,8,0,2,2,,970
7791225,0,2,1,10,0,2,,,800
7791212,0,0,0,0,0,1,,,0
7791211,0,0,1,0,0,1,,,0
7791209,1,2,1,27,0,2,4,,1020
7791206,0,3,0,94,0,2,7,1,450
7791199,0,4,3,149,0,2,21,7,0
7791192,0,0,0,0,0,2,,,800
7791187,0,0,1,0,0,1,,,0
7791181,0,3,1,105,0,2,12,1,470
7791179,0,0,0,0,0,2,,,800
7791175,0,6,0,515,0,2,44,16,0
7791172,0,0,1,0,0,1,,,0
7791168,1,0,3,0,0,1,,,0
7791167,0,8,7,1345,10,3,291,113,0
7791166,0,5,1,279,1,2,40,20,1420
7791164,0,0,2,0,0,1,,,0
7791162,0,0,3,0,0,1,,,0
7791161,0,0,0,0,5,1,,,0
7791159,0,0,4,0,0,1,,,0
7791158,0,0,0,0,0,1,,,0
7791157,0,0,1,0,5,1,,,0
7791156,0,2,4,42,0,2,9,,1220
7791155,0,2,1,44,0,2,4,1,790
7791154,0,0,2,0,0,1,,,0
7791153,0,0,0,0,0,1,,,0
7791152,0,3,5,89,0,2,9,3,1710
7791150,0,7,1,830,1,2,155,42,490
7791149,1,2,1,14,0,2,4,,930
7791147,0,0,6,0,0,1,,,0
7791146,0,7,1,817,1,2,91,36,188
7791144,0,4,0,132,0,2,13,4,10
7791140,0,2,1,23,0,2,1,,790
7791138,0,2,7,10,0,2,,,800
7791135,1,5,0,308,0,2,24,5,0
7791134,1,7,1,920,0,2,210,92,1216
7791133,0,0,2,0,0,1,,,0
7791124,0,3,2,122,0,2,14,3,0
7791119,0,2,1,10,5,3,,,2300
7791117,0,2,0,31,0,2,3,1,1000
7791107,0,0,0,0,0,1,,,0
7791106,0,3,1,76,0,2,8,1,0
7791099,1,3,1,55,0,2,6,4,1410
7791096,0,5,0,362,0,2,28,4,1000
7791094,0,0,4,0,0,1,,,0
7791089,0,9,0,2085,6,3,801,254,4923
7791088,1,0,0,0,0,2,,,800
7791087,0,6,0,544,5,3,88,29,91
7791086,1,2,0,13,0,2,2,,980
7791083,0,5,0,270,0,2,38,12,170
7791084,0,3,0,79,0,2,8,3,0
7791069,0,6,0,511,0,2,67,24,0
7791067,0,4,0,245,0,2,32,10,4750
7791065,1,5,3,445,0,2,45,9,44
7791062,0,5,0,455,0,2,39,15,155
7791061,0,0,1,0,5,1,,,0
7791059,0,0,1,0,0,2,,,800
7791058,0,0,1,0,0,1,,,0
7791048,0,0,1,0,0,2,,,800
7791044,0,0,6,0,0,2,,,800
7791036,0,0,1,0,0,1,,,0
7791033,0,0,1,0,0,2,,,800
7791032,0,4,1,161,0,2,30,4,700
7791025,0,6,1,532,5,3,122,21,1450
7791022,1,0,0,0,0,1,,,0
7791016,0,2,11,23,0,2,2,,1160
7791012,0,2,0,28,0,2,3,1,1153
7791009,0,0,1,0,0,1,,,0
7791003,0,0,1,0,0,1,,,0
7791000,0,0,0,0,0,2,,,800
7790996,0,0,0,0,0,2,,,800
7790995,0,10,5,2505,20,6,669,249,539100
7790990,0,0,1,0,0,1,,,0
7790988,0,1,1,3,0,2,1,,800
7790985,1,0,1,0,0,1,,,0
7790983,0,9,3,1774,15,4,620,107,1800
7790981,0,2,1,13,0,2,2,,770
7790977,1,0,0,0,0,1,,,0
7790970,0,2,3,38,5,3,2,1,0
7790957,1,5,1,371,5,3,28,10,15210
7790940,0,7,1,1084,40,6,239,93,1465
7790935,1,5,0,341,0,2,62,18,540
7790933,0,7,1,878,1,2,113,34,64
7790928,0,2,2,26,0,2,3,,980
7790920,1,4,0,149,0,2,10,3,2360
7790917,0,5,1,316,0,2,49,15,0
7790914,0,0,2,0,0,1,,,0
7790913,0,0,1,0,0,1,,,0
7790912,0,5,1,444,1,2,36,11,0
7790911,0,5,0,296,0,2,34,10,3309
7790910,1,10,3,2742,15,5,364,78,33722
7790908,0,0,0,0,0,1,,,0
7790907,0,2,5,18,0,2,2,,970
7790905,0,2,6,10,0,2,,,800
7790900,0,0,0,0,0,1,,,0
7790899,0,3,2,121,0,2,10,5,1652
7790895,1,3,12,64,5,3,5,1,1460
7790890,0,2,0,8,0,2,1,,960
7790883,0,8,0,1279,35,5,268,77,1
7790881,0,10,3,2595,17,5,374,70,37449
7790878,0,0,3,0,5,1,,,0
7790876,1,2,1,21,0,2,2,,930
7790875,0,0,2,0,0,1,,,0
7790868,0,0,0,0,0,2,,,800
7790867,0,3,1,89,0,2,15,4,960
7790865,1,2,1,18,0,2,1,,990
7790864,1,0,0,0,0,1,,,0
7790862,0,0,4,0,0,1,,,0
7790853,0,7,2,993,11,4,170,39,0
7790851,0,6,2,748,0,2,97,21,216
7790850,0,0,0,0,0,2,,,800
7790848,0,11,0,3697,20,5,3636,396,2065412
7790842,0,4,3,135,0,2,15,6,200
7790841,0,7,6,846,5,3,119,44,0
7790839,0,2,0,22,0,2,5,,1180
7790838,0,0,0,0,0,1,,,0
7790831,0,10,3,2468,17,5,376,57,23388
7790826,0,4,1,203,0,2,32,12,20
7790820,1,7,4,916,10,4,207,66,0
7790818,0,2,0,28,0,2,7,,610
7790816,0,0,1,0,0,1,,,0
7790815,0,0,5,0,0,1,,,0
7790808,1,2,0,5,0,2,1,,980
7790802,0,0,0,0,0,1,,,0
7790798,0,6,0,582,20,4,51,14,0
7790797,0,1,0,3,0,2,1,,780
7790796,0,2,1,13,5,3,1,,0
7790795,0,0,2,0,0,1,,,0
7790788,0,4,0,191,10,4,21,7,180
7790787,0,0,4,0,0,1,,,0
7790784,0,0,4,0,0,1,,,0
7790779,0,0,3,0,0,1,,,0
7790777,0,13,1,7003,20,6,5461,484,377469
7790774,0,4,0,248,0,2,20,7,0
7790773,1,0,2,0,0,2,,,800
7790770,0,1,1,3,0,2,1,,790
7790765,1,0,1,0,0,2,,,800
7790762,0,0,1,0,0,1,,,0
7790760,0,0,0,0,0,1,,,0
7790759,0,0,0,0,0,1,,,0
7790755,1,0,1,0,0,2,,,800
7790754,1,0,2,0,0,1,,,0
7790750,1,0,0,0,0,1,,,0
7790747,0,0,0,0,0,2,,,800
7790744,0,3,2,112,10,4,19,2,60
7790743,0,5,0,315,0,2,40,11,450
7790735,0,5,1,403,0,2,50,15,710
7790734,0,3,5,84,5,3,12,3,0
7790731,0,0,0,0,0,1,,,0
7790732,0,0,1,0,0,1,,,0
7790730,0,2,1,5,0,2,1,,980
7790725,0,0,1,0,0,2,,,800
7790723,0,6,0,539,1,2,71,21,0
7790721,1,0,1,0,0,2,,,800
7790719,0,0,1,0,0,2,,,800
7790718,0,4,2,135,0,2,15,5,1836
7790716,0,0,3,0,0,1,,,0
7790715,0,7,1,940,0,2,142,48,0
7790707,0,0,0,0,0,1,,,0
7790706,1,0,0,0,0,2,1,,740
7790698,1,2,0,20,0,2,6,,870
7790697,1,0,1,0,0,1,,,0
7790695,0,6,2,605,5,3,75,28,33
7790691,0,0,0,0,0,1,,,0
7790688,0,4,0,134,0,2,18,7,2140
7790685,0,0,2,0,15,1,,,0
7790683,1,0,1,0,0,1,,,0
7790682,0,0,0,0,5,1,,,0
7790680,0,0,0,0,0,1,,,0
7790678,1,0,0,0,0,1,,,0
7790674,0,6,2,576,10,4,78,29,0
7790661,0,9,6,2038,15,5,354,96,0
7790656,0,8,2,1251,5,3,245,83,0
7790649,0,0,0,0,0,1,,,0
7790629,0,0,0,0,0,1,,,0
7790625,0,4,9,176,6,2,25,11,3070
7790623,0,2,2,18,0,2,2,,970
7790619,1,2,2,39,0,2,4,2,830
7790615,1,0,2,0,0,1,,,0
7790614,0,3,0,45,0,2,5,2,836
7790609,0,7,1,1118,10,4,216,71,0
7790601,0,5,0,412,0,2,45,15,0
7790600,0,5,1,445,0,2,48,20,0
7790599,0,5,0,396,0,2,66,20,0
7790593,1,0,0,0,0,1,,,0
7790589,0,2,5,13,0,2,2,,780
7790583,0,0,3,0,0,1,,,0
7790581,0,6,5,480,0,2,87,44,3912
7790574,0,0,2,0,0,2,,,800
7790573,0,7,0,760,0,2,125,53,0
7790572,0,0,0,0,0,1,,,0
7790570,0,0,1,0,0,2,,,800
7790564,0,5,0,433,0,2,56,12,0
7790559,0,2,1,16,0,2,2,,90
7790545,0,5,1,281,0,2,38,29,2840
7790540,0,0,2,0,0,1,,,0
7790533,0,3,1,70,0,2,9,5,1370
7790532,0,4,2,262,0,2,49,18,950
7790531,0,5,3,377,0,2,32,4,7580
7790521,1,7,0,785,0,2,322,131,9
7790518,0,0,1,0,0,2,,,800
7790509,0,0,1,0,0,1,,,0
7790507,1,0,1,0,0,1,,,0
7790505,1,2,6,19,0,2,3,,150
7790501,1,2,14,10,5,3,2,,0
7790495,0,0,0,0,0,1,,,0
7790492,0,0,1,0,0,2,,,800
7790491,0,0,1,0,0,2,,,800
7790489,0,3,0,97,0,2,11,6,13820
7790487,0,6,0,686,10,4,145,58,191
7790483,0,6,2,714,15,5,109,38,0
7790482,0,0,1,0,0,2,,,800
7790480,0,0,1,0,0,1,,,0
7790476,0,4,3,180,0,2,25,8,150
7790473,0,2,0,5,0,2,1,,980
7790471,0,0,1,0,0,1,,,0
7790468,1,1,0,3,0,2,2,,780
7790465,0,0,5,0,0,1,,,0
7790458,0,4,1,213,0,2,30,11,2090
7790457,0,3,1,113,0,2,14,1,862
7790455,0,0,0,0,0,1,,,0
7790454,1,0,1,0,0,1,,,0
7790453,1,0,4,0,0,1,,,0
7790452,0,0,0,0,0,1,,,0
7790448,0,0,4,0,0,1,,,0
7790446,1,0,1,0,0,2,,,800
7790444,0,4,6,261,5,3,45,19,2194
7790436,0,5,0,365,0,2,75,28,3282
7790431,0,0,3,0,0,1,,,0
7790429,0,2,2,10,0,2,,,800
7790428,0,0,3,0,0,1,,,0
7790427,0,0,1,0,0,1,,,0
7790426,0,0,2,0,0,1,,,0
7790425,0,0,1,0,0,1,,,0
7790424,0,0,0,0,0,1,,,0
7790423,0,0,1,0,0,1,,,0
7790422,0,0,2,0,0,1,,,0
7790421,0,0,0,0,0,2,,,800
7790420,0,0,3,0,0,1,,,0
7790419,0,0,4,0,0,1,,,0
7790418,0,0,8,0,0,1,,,0
7790417,1,0,1,0,0,1,,,0
7790415,1,0,1,0,0,1,,,0
7790414,0,0,0,0,0,1,,,0
7790413,0,0,0,0,0,1,,,0
7790412,0,0,1,0,0,1,,,0
7790411,0,0,0,0,0,1,,,0
7790410,0,0,1,0,0,1,,,0
7790409,0,0,1,0,0,1,,,0
7790408,0,0,1,0,0,1,,,0
7790406,0,0,3,0,0,1,,,0
7790407,0,0,0,0,0,1,,,0
7790405,0,0,2,0,0,1,,,0
7790403,0,0,1,0,0,1,,,0
7790401,0,0,0,0,0,1,,,0
7790400,0,0,1,0,0,1,,,0
7790399,0,0,3,0,0,1,,,0
7790398,0,0,0,0,0,1,,,0
7790397,0,0,2,0,0,1,,,0
7790396,0,0,1,0,0,1,,,0
7790395,0,0,1,0,0,1,,,0
7790394,0,0,0,0,0,1,,,0
7790390,0,0,2,0,0,1,,,0
7790388,1,4,2,157,0,2,27,4,1120
7790387,0,0,4,0,0,1,,,0
7790385,0,0,0,0,0,1,,,0
7790384,0,0,1,0,0,1,,,0
7790382,0,0,0,0,0,1,,,0
7790381,0,0,2,0,0,1,,,0
7790379,0,0,3,0,0,1,,,0
7790380,1,0,1,0,0,1,,,0
7790378,0,0,0,0,0,1,,,0
7790377,0,0,0,0,0,1,,,0
7790375,0,0,0,0,0,1,,,0
7790376,0,0,0,0,0,1,,,0
7790374,1,0,0,0,0,1,,,0
7790373,0,0,0,0,0,1,,,0
7790372,0,0,0,0,0,1,,,0
7790371,1,0,1,0,0,1,,,0
7790370,0,0,0,0,0,1,,,0
7790369,0,0,1,0,0,1,,,0
7790368,0,0,1,0,0,1,,,0
7790366,0,0,1,0,0,1,,,0
7790364,0,0,3,0,0,1,,,0
7790363,0,0,2,0,0,1,,,0
7790359,0,4,1,160,0,2,27,4,800
7790349,0,6,5,579,5,3,83,40,0
7790341,0,7,1,1014,8,3,209,56,0
7790337,1,0,4,0,0,2,,,800
7790328,0,0,0,0,0,2,,,800
7790308,0,1,0,3,0,2,1,,790
7790293,0,4,0,130,0,2,15,4,3110
7790292,0,4,1,200,0,2,30,3,595
7790276,0,4,0,155,0,2,18,8,170
7790267,0,6,1,623,26,7,65,10,50
7790260,1,0,0,0,0,2,,,800
7790257,0,0,1,0,0,2,,,800
7790253,0,0,1,0,0,2,,,200
7790246,1,2,5,13,0,2,2,,770
7790243,0,2,1,10,0,2,,,800
7790241,0,2,3,5,0,2,1,,980
7790236,0,3,0,87,0,2,10,3,0
7790234,0,0,0,0,0,2,,,800
7790223,1,2,4,18,0,2,2,,980
7790219,0,2,3,10,0,2,,,800
7790209,0,4,0,126,0,2,15,8,180
7790199,0,0,8,0,0,2,,,800
7790195,0,0,1,0,0,2,,,200
7790193,0,3,0,48,20,6,6,2,4900
7790191,0,0,0,0,20,6,,,4800
7790188,0,7,1,793,16,5,90,18,0
7790180,0,2,2,22,0,2,2,1,840
7790178,0,3,2,99,0,2,15,4,0
7790169,0,4,0,215,1,2,26,11,180
7790167,0,6,5,755,30,6,93,31,0
7790162,0,0,1,0,0,2,,,200
7790156,0,7,1,762,26,7,102,24,30
7790155,0,9,9,2039,20,6,383,94,10
7790150,0,6,1,590,10,4,58,13,2893
7790142,0,6,0,695,0,2,69,24,445300
7790140,0,4,1,179,0,2,39,10,758
7790132,0,9,2,1848,30,6,500,120,29156
7790120,0,2,0,8,0,2,1,,990
7790116,0,2,1,10,0,2,,,800
7790103,0,0,1,0,0,2,,,200
7790100,0,2,1,16,0,2,2,,0
7790087,0,6,0,551,0,2,66,21,1383
7790081,1,0,4,0,0,2,,,800
7790078,0,7,0,919,30,5,167,58,5441
7790077,0,6,1,700,0,2,132,61,50
7790069,1,2,0,22,0,2,4,1,290
7790066,1,2,0,11,0,2,2,,980
7790064,0,2,1,10,0,2,,,800
7790063,0,4,0,157,0,2,21,7,170
7790061,1,2,0,22,0,2,5,,1040
7790060,0,2,0,10,0,2,1,,1180
7790059,0,4,0,163,0,2,28,12,100
7790057,0,0,1,0,0,2,,,800
7790049,0,6,4,563,5,3,114,24,15503
7790022,0,2,2,8,0,2,1,,990
7790015,0,2,1,14,0,2,3,,770
7790011,1,10,2,2435,40,6,590,120,16398
7790009,0,0,1,0,0,2,,,800
7790006,0,0,0,0,0,2,,,800
7789995,1,2,0,11,0,2,2,,970
7789990,0,2,1,15,0,2,1,,980
7789989,1,1,1,3,0,2,2,,770
7789988,0,3,1,48,0,2,6,1,1030
7789987,0,0,0,0,0,2,,,800
7789977,0,2,2,37,0,2,3,1,1146
7789972,0,0,0,0,0,2,,,800
7789968,0,2,3,27,0,2,3,1,790
7789961,1,3,0,60,0,2,3,2,2350
7789959,0,7,0,1067,6,3,151,34,0
7789950,0,2,3,18,0,2,1,,940
7789947,1,2,2,44,0,2,8,,50
7789944,0,4,1,202,0,2,40,5,0
7789938,0,1,0,3,0,2,2,,780
7789930,0,2,7,8,0,2,1,,980
7789917,0,2,0,24,5,3,5,,860
7789912,1,0,0,0,0,2,,,800
7789911,0,0,1,0,0,2,,,800
7789909,1,1,0,3,0,2,2,,780
7789905,1,2,1,29,0,2,2,1,2290
7789904,1,0,1,0,0,2,,,800
7789902,0,0,0,0,0,2,,,800
7789896,0,4,1,186,0,2,23,10,0
7789892,0,0,1,0,0,2,,,800
7789891,0,0,1,0,0,2,,,200
7789889,0,4,0,161,0,2,25,7,50
7789885,0,0,1,0,0,2,,,800
7789883,0,0,1,0,0,2,,,200
7789879,0,7,2,801,5,3,160,50,0
7789866,1,2,0,41,0,2,5,1,760
7789864,0,0,1,0,0,2,,,200
7789862,0,5,1,371,0,2,71,24,6125
7789861,0,4,1,191,0,2,30,7,8474
7789853,0,5,3,454,5,3,97,35,2607
7789847,0,5,0,355,0,2,60,23,0
7789839,1,0,0,0,0,2,1,,790
7789838,0,2,3,32,0,2,5,,780
7789837,1,1,0,3,0,2,1,,800
7789830,0,2,0,39,0,2,9,,710
7789828,1,10,1,2925,27,7,1549,232,1361
7789824,0,4,2,132,0,2,18,4,0
7789821,0,5,1,320,0,2,68,7,949800
7789820,0,0,1,0,0,2,,,800
7789818,0,1,0,3,0,2,2,,780
7789811,0,0,0,0,0,2,,,800
7789809,1,6,1,744,15,5,88,15,99616
7789803,0,0,1,0,0,2,,,800
7789800,0,0,0,0,0,2,,,800
7789798,1,0,0,0,0,2,,,800
7789791,0,0,0,0,0,2,,,800
7789790,0,4,1,188,10,4,15,5,3338
7789789,0,0,1,0,0,1,,,0
7789787,0,3,1,115,0,2,18,8,3860
7789780,0,4,0,126,0,2,19,3,180
7789770,0,3,2,116,0,2,14,4,4134
7789767,0,3,3,120,5,3,9,4,4320
7789764,0,2,1,23,0,2,2,,1160
7789763,1,8,2,1543,11,4,294,66,0
7789761,0,2,2,14,0,2,4,,580
7789758,1,2,2,33,15,5,8,,920
7789744,0,7,1,855,5,3,245,75,12845
7789741,0,5,4,376,0,2,146,115,0
7789729,0,3,1,74,0,2,7,2,770
7789728,1,6,2,491,0,2,45,10,300
7789726,0,5,0,315,5,3,51,10,160
7789725,0,4,2,171,0,2,21,7,100
7789719,0,2,0,11,0,2,3,,1020
7789718,0,0,4,0,0,1,,,0
7789712,0,0,0,0,0,1,,,0
7789710,0,2,4,21,0,2,3,,770
7789706,1,2,0,13,0,2,2,,1080
7789702,1,2,0,10,0,2,1,,1160
7789699,0,5,1,300,0,2,30,4,25
7789698,0,3,0,69,0,2,9,6,1520
7789696,0,5,1,327,5,3,26,8,0
7789693,0,3,2,102,0,2,7,2,60
7789692,1,1,1,3,0,2,1,,770
7789685,0,4,3,182,0,2,34,6,50
7789684,0,8,2,1221,10,4,226,81,0
7789682,0,2,1,27,0,2,4,,190
7789681,0,3,1,65,0,2,12,1,0
7789678,0,0,1,0,0,1,,,0
7789677,0,2,0,17,0,2,2,1,805
7789676,0,2,7,18,5,3,2,,960
7789673,0,2,2,14,0,2,1,1,790
7789669,0,2,0,8,0,2,1,,1000
7789666,0,4,1,157,5,3,24,7,50
7789663,0,2,3,36,5,3,3,2,1110
7789661,0,2,2,42,0,2,2,1,1190
7789653,1,0,4,0,0,2,,,800
7789645,0,4,4,163,0,2,21,11,3460
7789640,1,2,0,8,0,2,1,,990
7789638,0,6,0,539,0,2,63,20,0
7789637,1,0,1,0,0,1,,,0
7789636,0,3,1,57,0,2,6,2,770
7789630,0,7,4,780,11,4,106,30,1421
7789625,0,3,0,106,0,2,15,3,0
7789622,0,3,5,122,0,2,19,7,150
7789618,0,2,1,16,5,3,2,,0
7789613,0,2,0,32,0,2,3,1,1570
7789611,1,2,1,8,0,2,1,,1000
7789604,0,2,0,8,0,2,1,,990
7789602,0,3,1,83,0,2,9,1,1000
7789599,0,5,0,445,10,4,62,14,2175
7789594,0,3,2,66,0,2,5,2,1160
7789589,0,4,6,131,0,2,16,5,580
7789584,0,3,0,96,0,2,6,2,400
7789581,0,0,1,0,0,1,,,0
7789579,0,0,0,0,0,2,,,800
7789578,0,4,1,178,5,3,24,8,330
7789564,0,0,1,0,0,1,,,0
